LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cameri;1/7/1981;"20,2";"12";"27";"17,4";"84";"5";"2";"9";"0";"0";"0";"0";""
Cameri;2/7/1981;"22,1";"15";"29";"19,3";"84";"4";"1";"7";"0";"0";"0";"0";"pioggia "
Cameri;3/7/1981;"17,9";"14";"20";"17,5";"98";"4";"2";"5";"0";"0";"0";"0";"pioggia temporale "
Cameri;4/7/1981;"16,8";"12";"24";"14,1";"84";"10";"4";"11";"0";"0";"0";"0";""
Cameri;5/7/1981;"20,3";"13";"27";"17,2";"82";"9";"1";"9";"0";"0";"0";"0";""
Cameri;6/7/1981;"21,8";"16";"28";"18,5";"82";"6";"1";"7";"0";"0";"0";"0";""
Cameri;7/7/1981;"23,7";"18";"29";"20,7";"83";"5";"1";"5";"0";"0";"0";"0";""
Cameri;8/7/1981;"23,3";"19";"29";"20,7";"85";"4";"0";"4";"0";"0";"0";"0";"temporale "
Cameri;9/7/1981;"22,9";"18";"29";"21";"89";"4";"0";"5";"0";"0";"0";"0";"temporale "
Cameri;10/7/1981;"23,4";"18";"29";"21,1";"87";"3";"2";"9";"0";"0";"0";"0";"temporale "
Cameri;11/7/1981;"21,6";"18";"27";"19,7";"89";"6";"3";"9";"0";"0";"0";"0";"pioggia temporale "
Cameri;12/7/1981;"22,7";"17";"30";"21";"90";"7";"0";"0";"0";"0";"0";"0";"pioggia temporale "
Cameri;13/7/1981;"21,5";"17";"29";"20,4";"93";"5";"2";"7";"0";"0";"0";"0";"pioggia temporale "
Cameri;14/7/1981;"21,3";"15";"27";"19,3";"88";"7";"2";"7";"0";"0";"0";"0";""
Cameri;15/7/1981;"22,4";"15";"29";"19,9";"86";"5";"0";"4";"0";"0";"0";"0";""
Cameri;16/7/1981;"23,7";"18";"29";"21,2";"86";"4";"0";"4";"0";"0";"0";"0";""
Cameri;17/7/1981;"21,8";"17";"28";"20,5";"92";"4";"1";"9";"0";"0";"0";"0";"pioggia temporale "
Cameri;18/7/1981;"16,3";"14";"19";"16,3";"100";"6";"2";"15";"0";"0";"0";"0";"pioggia temporale "
Cameri;19/7/1981;"14,6";"11";"20";"12,9";"90";"10";"3";"11";"0";"0";"0";"0";"pioggia temporale "
Cameri;20/7/1981;"16,4";"12";"25";"13";"80";"9";"3";"9";"0";"0";"0";"0";""
Cameri;21/7/1981;"19,4";"12";"28";"16";"81";"10";"2";"7";"0";"0";"0";"0";""
Cameri;22/7/1981;"19,9";"13";"25";"17,7";"87";"6";"1";"9";"0";"0";"0";"0";"temporale "
Cameri;23/7/1981;"17,4";"15";"22";"16,8";"96";"6";"2";"9";"0";"0";"0";"0";"pioggia "
Cameri;24/7/1981;"18,1";"14";"23";"17,5";"96";"5";"1";"5";"0";"0";"0";"0";"pioggia temporale "
Cameri;25/7/1981;"18,2";"11";"26";"14,5";"79";"10";"1";"5";"0";"0";"0";"0";""
Cameri;26/7/1981;"18,3";"12";"26";"14,4";"78";"10";"2";"15";"0";"0";"0";"0";""
Cameri;27/7/1981;"15,8";"10";"25";"12,6";"81";"9";"3";"11";"0";"0";"0";"0";""
Cameri;28/7/1981;"21,3";"14";"27";"15,4";"69";"9";"3";"11";"0";"0";"0";"0";""
Cameri;29/7/1981;"20,9";"12";"29";"17,9";"83";"7";"0";"4";"0";"0";"0";"0";""
Cameri;30/7/1981;"21,7";"15";"30";"18,8";"84";"5";"1";"5";"0";"0";"0";"0";""
Cameri;31/7/1981;"21,9";"17";"28";"19,3";"85";"5";"0";"5";"0";"0";"0";"0";""
